regime,GLD,IJR,MTUM,QUAL,SPY,USMV,VIG,VLUE,cash
Recovery,0.42004821235504197,0.0,0.0,0.003038504731860849,2.452504115900688e-17,0.05333520886681737,0.47357807404627983,3.97994286663909e-17,0.0499999999999999
Contraction,0.4715640716836584,2.5919463536264284e-17,0.4784359283163417,0.0,1.3445754781301704e-16,1.3462406963926785e-17,0.0,0.0,0.0499999999999999
Overheating,0.1732075912806023,1.2319696221459016e-16,1.5092364119731354e-16,1.3912651772095293e-16,0.45479427482940527,7.47732203620761e-18,0.0,0.32199813388999204,0.049999999999999906
Stagflation,1.4273495413893586e-16,2.953515708692644e-16,0.237987704613778,2.9505032775602567e-16,4.4367204794587833e-16,0.7120122953862204,2.6520455725856534e-16,1.3812306070460956e-16,0.0500000000000001
