regime,GLD,IJR,MTUM,QUAL,SPY,USMV,VIG,VLUE,cash
Stagflation,0.0,0.44135853557171956,0.4872867953194031,7.052602082901455e-17,0.0,0.021354669108877306,2.175218971913695e-17,0.0,0.05000000000000003
Contraction,0.6242708450760971,3.7536171111756133e-16,0.3257291549239029,0.0,2.804283783314857e-17,0.0,0.0,1.399388711910616e-16,0.04999999999999987
Recovery,0.5030942448751037,0.0,0.03496025600882468,2.162690786451833e-16,0.41194549911607137,0.0,3.020770237909417e-17,0.0,0.0500000000000001
Overheating,0.4644301922317615,5.415073257728563e-16,2.079525604511313e-16,3.163380371142125e-17,0.0,0.0,0.081109154272968,0.4044606534952703,0.049999999999999836
Unknown,0.0,0.0,0.0,0.819378279181749,9.850959615153463e-16,1.7728371249770084e-15,0.0,0.13062172081851908,0.05000000000000152
