date,regime,risk_on,macro_score,gdp_z,infl_z,m2_z,vel_z,yield_level_z
1969-02-28,Contraction,0.38450358410993185,-0.47047601213622214,-0.5719544898913532,0.19332139195352918,-0.7349955061901511,-0.10447804032716221,
1969-03-31,Stagflation,0.3780940048504491,-0.4976460933354389,-0.5719544898913532,2.982427395637361,-0.8165057497878014,-0.10447804032716221,
1969-04-30,Stagflation,0.444844810924622,-0.2215222127684473,-0.13331663836645133,1.4680415492023995,-1.7729444369120808,1.2416944369731902,
1969-05-31,Contraction,0.28464011028414266,-0.9215601469509583,-0.5578810748258293,0.031938580937684785,-2.0682397610266996,-0.1385596050003463,
1969-06-30,Stagflation,0.3556551496908195,-0.5942724838976987,-0.5578810748258293,1.3862004240634136,-1.0863767718669206,-0.1385596050003463,
1969-07-31,Overheating,0.5932749217485892,0.37752042949158554,0.39530274677696736,1.3249414188632602,-1.7863554582904542,2.5236139999882434,
1969-08-31,Contraction,0.2875214649046294,-0.90745226751878,-0.5485947102797278,-0.08466410572402217,-1.987723769343822,-0.1860383229327904,
1969-09-30,Stagflation,0.36543962541723507,-0.5518313536258503,-0.5485947102797278,1.2530401464718448,-0.9208610276650327,-0.1860383229327904,
1969-10-31,Stagflation,0.271404404012988,-0.9875088657812974,-1.212568442504947,1.1960393388274206,-1.3994453988160076,-0.35051275602293785,
1969-11-30,Stagflation,0.3678052106647654,-0.5416440784485747,-0.5229963548285058,1.1476245215139558,-0.8646664847605564,-0.2372693957566618,
1969-12-31,Stagflation,0.39705463526219503,-0.4177526953544399,-0.5229963548285058,1.0957384596808806,-0.49299233547815186,-0.2372693957566618,
1970-01-31,Overheating,0.4842514313950537,-0.06301511839770872,-0.7231687001302899,1.0462711220670164,-1.0421094005863771,1.5762327455235408,
1970-02-28,Stagflation,0.17573049816882755,-1.5455459807079972,-0.49713116318873024,1.0019609775586305,-3.9023423529754635,-0.23716442595979764,
1970-03-31,Stagflation,0.3431628823574895,-0.6492308592694521,-0.49713116318873024,0.9557769219611241,-1.2133969886598286,-0.23716442595979764,
1970-04-30,Overheating,0.501506361347319,0.006025463619356186,-0.2579095595473977,0.9126613660188247,-1.122047854141242,1.3980338045467082,
